keys,zh,en
?,?,?
妈妈,妈妈,Mom
玛格丽特,玛格丽特,
黛西,黛西,
黛西&玛格丽特,黛西&玛格丽特,
WAIT_3_68732A,玛格丽特，醒来吧…… [wait=3] [next=auto][ID:玛格丽特_醒来吧_500184],
玛格丽特_醒来吧_WAIT_3_NEXT_AUTO_A29A42,玛格丽特，醒来吧……,
玛格丽特_钟表设计是一个不允许失误的工作_如果老是这样冒失_590A3C,玛格丽特，钟表设计是一个不允许失误的工作，如果老是这样冒失，该怎么继承我们家族的衣钵？,
玛格丽特_你在听吗_WAIT_3_NEXT_AUTO_26A5BB,玛格丽特，你在听吗？,
玛格丽特_WAIT_1_NEXT_AUTO_DFB14D,玛格丽特？,
这次不要再走神了_WAIT_1_NEXT_AUTO_33BD29,这次不要再走神了……,
都这个点了_你还是这么爱睡懒觉_玛格_33E21F,都这个点了，你还是这么爱睡懒觉，玛格……\,
都这个点了_你还是这么爱睡懒觉_玛格_WAIT_3_怎么了_F9DF37,怎么了？你看起来像做了噩梦。,
妈妈_我_0C064E,妈妈，我……,
果然是做了噩梦吧_既然醒了那就都是过去的事了_好啦_快点起来_61A851,果然是做了噩梦吧！既然醒了那就都是过去的事了，好啦，快点起来，我要做早餐了。,
咦_今天的早餐可是牛肉三明治啊_为什么都不吃呢_F60D00,咦，今天的早餐可是牛肉三明治啊，为什么都不吃呢？,
妈妈_那是_WAIT_2_家里的那罐咸酸酱吗_B792FA,妈妈，那是……[wait=2]家里的那罐咸酸酱吗……,
对啊_怎么了_这个酱可比不健康的咖啡要提神多了_814C4E,对啊，怎么了？这个酱可比不健康的咖啡要提神多了！,
姐姐_我想减肥_这个_给你。_2BF382,姐姐……我想减肥，这个……给你。,
_CC28E4,……,
好好好_减肥_9FCE19,好好好，减肥~,
姐姐真好_7D1E32,姐姐真好！,
温柔地说_C57E92,温柔地说:,
都瘦成这样了还减_好好好_减肥_7E7EF9,都瘦成这样了还减！好好好，减肥~,
嗔怪地说_39727D,嗔怪地说:,
又挑食_好好学学你的姐姐_只有不挑食才能长成小镇剧院里的那种_B969A3,又挑食！好好学学你的姐姐，只有不挑食才能长成小镇剧院里的那种大美人！,
呜_7CD6D3,呜……,
玛格丽特_说起来_这几天你的钟表设计得怎么样_BBD673,玛格丽特，说起来，这几天你的钟表设计得怎么样？,
真的吗_那我就放心了_312D3B,真的吗？那我就放心了，,
差不多了_11BE18,差不多了！,
没关系_没有什么事是一番风顺的。_7B7892,没关系，没有什么事是一番风顺的。,
不太有信心_3BFB8E,不太有信心……,
WAIT_3_55F503,[wait=3],
好_都吃饱了吗_EF2157,好，都吃饱了吗？,
嗯_9CF3AD,嗯！,
是这样的_我等会要先去一趟小镇_把海丽夫人修好的钟表交给她_648AA2,是这样的，我等会要先去一趟小镇，把海丽夫人修好的钟表交给她，会在12点左右的时间回来，在此之前你们就在家里好好待着。知道了吗？,
有些人天生就是修钟表的料。_47B960,有些人天生就是修钟表的料。,
我见黛西坐在母亲顶亮的台灯下_修钟表在她手里与其说是手艺_不_02CA7D,我见黛西坐在母亲顶亮的台灯下，修钟表在她手里与其说是手艺，不如说像呼吸一样自然。,
我从来就比不上她_母亲的目光也总只落于她_我像是钟表里那个坏_729C9E,我从来就比不上她，母亲的目光也总只落于她，我像是钟表里那个坏掉的零件。,
嗯_这些话是谁说的_我不记得自己说过这些呀。_ADCFC6,嗯？这些话是谁说的？我不记得自己说过这些呀。,
妈妈你看_我做的这个会喷水的钟。_6A8C3A,妈妈你看，我做的这个会喷水的钟。,
别摔着了_好好拿稳_确实啊_这个钟真有趣。_A5379C,别摔着了，好好拿稳，确实啊，这个钟真有趣。,
我站在门口_感觉像是两个世界。_C486C4,我站在门口，感觉像是两个世界。,
